(.venv_cuda) PS F:\169\DEEPFAKE-Detection> python .\training\Appreanch\150_appreanch_train.py
======================================================================
APPEARANCE BRANCH - 150 SOURCE GROUP TEST
======================================================================
Device                : cuda
Batch Size            : 8
Gradient Accumulation : 2
Effective Batch Size  : 16
Epochs                : 3
Train CSV             : data/split/test_150/train.csv
Validation CSV        : data/split/test_150/val.csv
Checkpoint Directory  : checkpoints/appearance_test_150
======================================================================

Training samples      : 45,652
Validation samples    : 11,067
Loading weights: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 173/173 [00:00<00:00, 13880.19it/s]
Trainable Parameters  : 525,571

======================================================================
STARTING 150-SOURCE-GROUP TEST TRAINING
======================================================================

F:\169\.venv_cuda\Lib\site-packages\torch\utils\data\dataloader.py:1102: UserWarning: pin_memory_device is deprecated, the current accelerator will be used as the device,ignore pin_memory_device='cuda'.
  super().__init__(loader)
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Step 4780/5707   Loss: 0.2141
Step 4800/5707   Loss: 0.2140
Step 4820/5707   Loss: 0.2137
Step 4840/5707   Loss: 0.2137
Step 4860/5707   Loss: 0.2135
Step 4880/5707   Loss: 0.2132
Step 4900/5707   Loss: 0.2131
Step 4920/5707   Loss: 0.2130
Step 4940/5707   Loss: 0.2128
Step 4960/5707   Loss: 0.2124
Step 4980/5707   Loss: 0.2123
Step 5000/5707   Loss: 0.2121
Step 5020/5707   Loss: 0.2120
Step 5040/5707   Loss: 0.2118
Step 5060/5707   Loss: 0.2116
Step 5080/5707   Loss: 0.2116
Step 5100/5707   Loss: 0.2116
Step 5120/5707   Loss: 0.2113
Step 5140/5707   Loss: 0.2111
Step 5160/5707   Loss: 0.2111
Step 5180/5707   Loss: 0.2110
Step 5200/5707   Loss: 0.2107
Step 5220/5707   Loss: 0.2104
Step 5240/5707   Loss: 0.2101
Step 5260/5707   Loss: 0.2101
Step 5280/5707   Loss: 0.2099
Step 5300/5707   Loss: 0.2096
Step 5320/5707   Loss: 0.2094
Step 5340/5707   Loss: 0.2094
Step 5360/5707   Loss: 0.2092
Step 5380/5707   Loss: 0.2093
Step 5400/5707   Loss: 0.2089
Step 5420/5707   Loss: 0.2088
Step 5440/5707   Loss: 0.2086
Step 5460/5707   Loss: 0.2084
Step 5480/5707   Loss: 0.2081
Step 5500/5707   Loss: 0.2084
Step 5520/5707   Loss: 0.2083
Step 5540/5707   Loss: 0.2082
Step 5560/5707   Loss: 0.2081
Step 5580/5707   Loss: 0.2078
Step 5600/5707   Loss: 0.2077
Step 5620/5707   Loss: 0.2074
Step 5640/5707   Loss: 0.2072
Step 5660/5707   Loss: 0.2074
Step 5680/5707   Loss: 0.2072
Step 5700/5707   Loss: 0.2071
Step 5707/5707   Loss: 0.2069

======================================================================
Epoch 1/3
======================================================================
Train Loss          : 0.2069
Train Accuracy      : 0.8921
Validation Loss     : 0.2698
Validation Accuracy : 0.8570
Avg Uncertainty     : 0.1514
Time                : 8008.3s
Checkpoint saved -> checkpoints/appearance_test_150\best.pt
Checkpoint saved -> checkpoints/appearance_test_150\last.pt

Step 20/5707   Loss: 0.1531
Step 40/5707   Loss: 0.1884
Step 60/5707   Loss: 0.1698
Step 80/5707   Loss: 0.1658
Step 100/5707   Loss: 0.1774
Step 120/5707   Loss: 0.1754
Step 140/5707   Loss: 0.1709
Step 160/5707   Loss: 0.1698
Step 180/5707   Loss: 0.1653
Step 200/5707   Loss: 0.1648
Step 220/5707   Loss: 0.1583
Step 240/5707   Loss: 0.1604
Step 260/5707   Loss: 0.1569
Step 280/5707   Loss: 0.1573
Step 300/5707   Loss: 0.1602
Step 320/5707   Loss: 0.1587
Step 340/5707   Loss: 0.1578
Step 360/5707   Loss: 0.1580
Step 380/5707   Loss: 0.1570
Step 400/5707   Loss: 0.1562
Step 420/5707   Loss: 0.1581
Step 440/5707   Loss: 0.1572
Step 460/5707   Loss: 0.1593
Step 480/5707   Loss: 0.1618
Step 500/5707   Loss: 0.1636
Step 520/5707   Loss: 0.1655
Step 540/5707   Loss: 0.1647
Step 560/5707   Loss: 0.1649
Step 580/5707   Loss: 0.1644
Step 600/5707   Loss: 0.1655
Step 620/5707   Loss: 0.1662
Step 640/5707   Loss: 0.1659
Step 660/5707   Loss: 0.1660
Step 680/5707   Loss: 0.1659
Step 700/5707   Loss: 0.1670
Step 720/5707   Loss: 0.1680
Step 740/5707   Loss: 0.1673
Step 760/5707   Loss: 0.1676
Step 780/5707   Loss: 0.1665
Step 800/5707   Loss: 0.1652
Step 820/5707   Loss: 0.1659
Step 840/5707   Loss: 0.1656
Step 860/5707   Loss: 0.1666
Step 880/5707   Loss: 0.1662
Step 900/5707   Loss: 0.1646
Step 920/5707   Loss: 0.1646
Step 940/5707   Loss: 0.1639
Step 960/5707   Loss: 0.1630
Step 980/5707   Loss: 0.1638
Step 1000/5707   Loss: 0.1624
Step 1020/5707   Loss: 0.1618
Step 1040/5707   Loss: 0.1618
Step 1060/5707   Loss: 0.1620
Step 1080/5707   Loss: 0.1622
Step 1100/5707   Loss: 0.1619
Step 1120/5707   Loss: 0.1619
Step 1140/5707   Loss: 0.1626
Step 1160/5707   Loss: 0.1631
Step 1180/5707   Loss: 0.1629
Step 1200/5707   Loss: 0.1636
Step 1220/5707   Loss: 0.1646
Step 1240/5707   Loss: 0.1645
Step 1260/5707   Loss: 0.1646
Step 1280/5707   Loss: 0.1657
Step 1300/5707   Loss: 0.1655
Step 1320/5707   Loss: 0.1659
Step 1340/5707   Loss: 0.1654
Step 1360/5707   Loss: 0.1647
Step 1380/5707   Loss: 0.1649
Step 1400/5707   Loss: 0.1650
Step 1420/5707   Loss: 0.1648
Step 1440/5707   Loss: 0.1648
Step 1460/5707   Loss: 0.1647
Step 1480/5707   Loss: 0.1657
Step 1500/5707   Loss: 0.1657
Step 1520/5707   Loss: 0.1669
Step 1540/5707   Loss: 0.1673
Step 1560/5707   Loss: 0.1671
Step 1580/5707   Loss: 0.1665
Step 1600/5707   Loss: 0.1663
Step 1620/5707   Loss: 0.1661
Step 1640/5707   Loss: 0.1652
Step 1660/5707   Loss: 0.1651
Step 1680/5707   Loss: 0.1646
Step 1700/5707   Loss: 0.1651
Step 1720/5707   Loss: 0.1652
Step 1740/5707   Loss: 0.1648
Step 1760/5707   Loss: 0.1646
Step 1780/5707   Loss: 0.1641
Step 1800/5707   Loss: 0.1646
Step 1820/5707   Loss: 0.1653
Step 1840/5707   Loss: 0.1657
Step 1860/5707   Loss: 0.1661
Step 1880/5707   Loss: 0.1657
Step 1900/5707   Loss: 0.1654
Step 1920/5707   Loss: 0.1648
Step 1940/5707   Loss: 0.1652
Step 1960/5707   Loss: 0.1650
Step 1980/5707   Loss: 0.1651
Step 2000/5707   Loss: 0.1657
Step 2020/5707   Loss: 0.1652
Step 2040/5707   Loss: 0.1648
Step 2060/5707   Loss: 0.1650
Step 2080/5707   Loss: 0.1645
Step 2100/5707   Loss: 0.1645
Step 2120/5707   Loss: 0.1642
Step 2140/5707   Loss: 0.1641
Step 2160/5707   Loss: 0.1639
Step 2180/5707   Loss: 0.1646
Step 2200/5707   Loss: 0.1641
Step 2220/5707   Loss: 0.1643
Step 2240/5707   Loss: 0.1644
Step 2260/5707   Loss: 0.1643
Step 2280/5707   Loss: 0.1647
Step 2300/5707   Loss: 0.1646
Step 2320/5707   Loss: 0.1646
Step 2340/5707   Loss: 0.1641
Step 2360/5707   Loss: 0.1645
Step 2380/5707   Loss: 0.1646
Step 2400/5707   Loss: 0.1643
Step 2420/5707   Loss: 0.1643
Step 2440/5707   Loss: 0.1643
Step 2460/5707   Loss: 0.1641
Step 2480/5707   Loss: 0.1637
Step 2500/5707   Loss: 0.1639
Step 2520/5707   Loss: 0.1640
Step 2540/5707   Loss: 0.1636
Step 2560/5707   Loss: 0.1635
Step 2580/5707   Loss: 0.1633
Step 2600/5707   Loss: 0.1634
Step 2620/5707   Loss: 0.1632
Step 2640/5707   Loss: 0.1632
Step 2660/5707   Loss: 0.1629
Step 2680/5707   Loss: 0.1626
Step 2700/5707   Loss: 0.1625
Step 2720/5707   Loss: 0.1628
Step 2740/5707   Loss: 0.1627
Step 2760/5707   Loss: 0.1626
Step 2780/5707   Loss: 0.1626
Step 2800/5707   Loss: 0.1625
Step 2820/5707   Loss: 0.1626
Step 2840/5707   Loss: 0.1627
Step 2860/5707   Loss: 0.1629
Step 2880/5707   Loss: 0.1628
Step 2900/5707   Loss: 0.1628
Step 2920/5707   Loss: 0.1631
Step 2940/5707   Loss: 0.1628
Step 2960/5707   Loss: 0.1626
Step 2980/5707   Loss: 0.1628
Step 3000/5707   Loss: 0.1627
Step 3020/5707   Loss: 0.1627
Step 3040/5707   Loss: 0.1625
Step 3060/5707   Loss: 0.1626
Step 3080/5707   Loss: 0.1626
Step 3100/5707   Loss: 0.1626
Step 3120/5707   Loss: 0.1629
Step 3140/5707   Loss: 0.1629
Step 3160/5707   Loss: 0.1629
Step 3180/5707   Loss: 0.1629
Step 3200/5707   Loss: 0.1627
Step 3220/5707   Loss: 0.1625
Step 3240/5707   Loss: 0.1625
Step 3260/5707   Loss: 0.1624
Step 3280/5707   Loss: 0.1621
Step 3300/5707   Loss: 0.1620
Step 3320/5707   Loss: 0.1616
Step 3340/5707   Loss: 0.1615
Step 3360/5707   Loss: 0.1620
Step 3380/5707   Loss: 0.1622
Step 3400/5707   Loss: 0.1626
Step 3420/5707   Loss: 0.1626
Step 3440/5707   Loss: 0.1627
Step 3460/5707   Loss: 0.1629
Step 3480/5707   Loss: 0.1628
Step 3500/5707   Loss: 0.1627
Step 3520/5707   Loss: 0.1629
Step 3540/5707   Loss: 0.1627
Step 3560/5707   Loss: 0.1625
Step 3580/5707   Loss: 0.1624
Step 3600/5707   Loss: 0.1628
Step 3620/5707   Loss: 0.1625
Step 3640/5707   Loss: 0.1624
Step 3660/5707   Loss: 0.1623
Step 3680/5707   Loss: 0.1625
Step 3700/5707   Loss: 0.1625
Step 3720/5707   Loss: 0.1628
Step 3740/5707   Loss: 0.1627
Step 3760/5707   Loss: 0.1628
Step 3780/5707   Loss: 0.1623
Step 3800/5707   Loss: 0.1627
Step 3820/5707   Loss: 0.1625
Step 3840/5707   Loss: 0.1623
Step 3860/5707   Loss: 0.1625
Step 3880/5707   Loss: 0.1626
Step 3900/5707   Loss: 0.1627
Step 3920/5707   Loss: 0.1626
Step 3940/5707   Loss: 0.1628
Step 3960/5707   Loss: 0.1630
Step 3980/5707   Loss: 0.1629
Step 4000/5707   Loss: 0.1628
Step 4020/5707   Loss: 0.1627
Step 4040/5707   Loss: 0.1628
Step 4060/5707   Loss: 0.1630
Step 4080/5707   Loss: 0.1630
Step 4100/5707   Loss: 0.1626
Step 4120/5707   Loss: 0.1624
Step 4140/5707   Loss: 0.1624
Step 4160/5707   Loss: 0.1624
Step 4180/5707   Loss: 0.1627
Step 4200/5707   Loss: 0.1627
Step 4220/5707   Loss: 0.1627
Step 4240/5707   Loss: 0.1627
